Cell_line	Top_split_var	Top_split_threshold	TP	FP	FN	TN	Precision	Recall	F1
H2009	SV_type	1	173	126	20	1192	0.579	0.896	0.703
HCC1395	SR	7.5	476	96	107	436	0.832	0.816	0.824
HCC1937	SS	64.5	316	144	37	708	0.687	0.895	0.777
HCC1954	SS	58.5	329	339	18	524	0.493	0.948	0.648
H1437	SS	70.5	80	55	6	444	0.593	0.93	0.724
Hs578T	SS	52.5	40	37	3	700	0.519	0.93	0.667
HG008	SV_type	1	45	31	0	580	0.592	1	0.744
COLO829	SR	6.5	32	39	0	399	0.451	1	0.621
MEAN	NA	NA	NA	NA	NA	NA	0.593	0.927	0.714
SD	NA	NA	NA	NA	NA	NA	0.121	0.06	0.068
